epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6606,2.04781,3.42724,1.56832,0.89091,0.39441,0.58739,0.28227,1.85351,3.2833,1.52486,0.000659574,0.000659574,0.000659574
2,60.1012,1.89606,2.30258,1.49291,0.65301,0.60511,0.63467,0.31366,1.76677,2.10355,1.54155,0.00129998,0.00129998,0.00129998
3,90.5673,1.88796,1.86491,1.55439,0.79896,0.65057,0.73989,0.34845,1.72398,2.16416,1.61014,0.00191399,0.00191399,0.00191399
4,119.387,1.86022,1.60446,1.56658,0.82041,0.70079,0.75363,0.37568,1.80545,1.67851,1.67775,0.0018812,0.0018812,0.0018812
5,148.493,1.81713,1.39251,1.51841,0.84858,0.73236,0.81618,0.38556,1.77469,1.73476,1.64834,0.0018416,0.0018416,0.0018416
6,177.665,1.79251,1.36655,1.50506,0.85079,0.72894,0.79822,0.39044,1.73216,1.84632,1.54397,0.001802,0.001802,0.001802
7,207.199,1.76766,1.29333,1.47921,0.84936,0.78491,0.85819,0.42674,1.66522,1.51266,1.56726,0.0017624,0.0017624,0.0017624
8,236.887,1.75847,1.25989,1.48707,0.84607,0.75,0.8198,0.38072,1.78617,1.31442,1.58223,0.0017228,0.0017228,0.0017228
9,266.39,1.775,1.20186,1.48235,0.88697,0.84718,0.90805,0.45293,1.6616,1.15628,1.55054,0.0016832,0.0016832,0.0016832
10,296.646,1.74149,1.16397,1.47037,0.83041,0.84854,0.8623,0.44356,1.67133,1.10903,1.53392,0.0016436,0.0016436,0.0016436
11,326.523,1.72405,1.16424,1.47809,0.91661,0.84309,0.90173,0.43352,1.73159,1.26465,1.61274,0.001604,0.001604,0.001604
12,355.789,1.70086,1.07929,1.45778,0.89492,0.87105,0.90694,0.4577,1.74155,0.94713,1.59858,0.0015644,0.0015644,0.0015644
13,385.588,1.69534,1.07933,1.43874,0.89402,0.8867,0.9239,0.47839,1.6058,0.97629,1.49827,0.0015248,0.0015248,0.0015248
14,415.509,1.65799,1.01288,1.41133,0.89024,0.83807,0.90167,0.46215,1.69626,1.02728,1.55335,0.0014852,0.0014852,0.0014852
15,444.974,1.6709,1.02519,1.42764,0.8276,0.82955,0.88447,0.45706,1.70229,1.03095,1.54221,0.0014456,0.0014456,0.0014456
16,474.462,1.68436,1.02391,1.42693,0.88533,0.89927,0.92635,0.48643,1.6249,1.08332,1.53023,0.001406,0.001406,0.001406
17,504.305,1.63425,1.00503,1.40602,0.90501,0.8608,0.91788,0.4892,1.61122,0.89537,1.5147,0.0013664,0.0013664,0.0013664
18,534.365,1.61433,0.9528,1.40477,0.89932,0.86364,0.91943,0.48312,1.61035,0.94699,1.49497,0.0013268,0.0013268,0.0013268
