epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4494,1.83394,3.11298,1.29066,0.29631,0.14918,0.16986,0.09273,1.66105,3.54917,1.27889,0.000659574,0.000659574,0.000659574
2,66.0547,1.76725,2.05276,1.28864,0.77186,0.68998,0.7158,0.36795,1.70134,1.71751,1.36166,0.00129998,0.00129998,0.00129998
3,98.0633,1.70683,1.59715,1.28858,0.82762,0.64103,0.75164,0.40235,1.70273,1.37799,1.34832,0.00191399,0.00191399,0.00191399
4,130.238,1.69618,1.3315,1.29353,0.79357,0.669,0.72277,0.37814,1.65668,1.99849,1.39309,0.0018812,0.0018812,0.0018812
5,161.735,1.65677,1.27092,1.29038,0.849,0.72082,0.78298,0.4063,1.66792,1.2804,1.35262,0.0018416,0.0018416,0.0018416
6,193.663,1.63495,1.19803,1.28504,0.91292,0.83683,0.89679,0.47939,1.61375,1.214,1.34632,0.001802,0.001802,0.001802
7,225.521,1.60307,1.09438,1.25965,0.86988,0.78089,0.83564,0.46647,1.53456,1.18242,1.29887,0.0017624,0.0017624,0.0017624
8,257.365,1.60132,1.0973,1.26825,0.90488,0.82517,0.89387,0.49701,1.51859,0.95819,1.28166,0.0017228,0.0017228,0.0017228
9,289.925,1.57498,1.06067,1.25177,0.88465,0.80443,0.86654,0.49943,1.51063,0.99379,1.30116,0.0016832,0.0016832,0.0016832
10,321.966,1.5408,1.01578,1.2382,0.94226,0.78788,0.88571,0.50183,1.54658,0.93806,1.33356,0.0016436,0.0016436,0.0016436
11,355.003,1.52219,0.98539,1.23169,0.89455,0.84615,0.88596,0.50196,1.51601,1.10395,1.27264,0.001604,0.001604,0.001604
12,386.622,1.4895,0.94355,1.21579,0.84854,0.75991,0.82432,0.4629,1.55244,1.10115,1.30703,0.0015644,0.0015644,0.0015644
13,417.936,1.50791,0.94127,1.22451,0.90935,0.82984,0.90677,0.53553,1.47084,0.83988,1.25154,0.0015248,0.0015248,0.0015248
14,449.801,1.54521,0.92316,1.22597,0.93146,0.8648,0.92193,0.5394,1.51334,0.7853,1.30145,0.0014852,0.0014852,0.0014852
15,481.834,1.49177,0.91364,1.21447,0.89051,0.83683,0.88913,0.50681,1.45181,0.95788,1.27093,0.0014456,0.0014456,0.0014456
16,513.533,1.48855,0.91006,1.21941,0.91757,0.83027,0.90745,0.52476,1.44711,0.86814,1.26165,0.001406,0.001406,0.001406
17,544.881,1.44736,0.85927,1.19518,0.90592,0.90443,0.9304,0.54116,1.44973,0.84901,1.24923,0.0013664,0.0013664,0.0013664
18,576.599,1.44675,0.88517,1.19156,0.93251,0.86958,0.9216,0.54926,1.45779,0.78001,1.27196,0.0013268,0.0013268,0.0013268
19,608.318,1.42854,0.85199,1.19838,0.89102,0.85763,0.9129,0.53496,1.46235,0.84816,1.28238,0.0012872,0.0012872,0.0012872
20,639.349,1.42851,0.84764,1.18551,0.93065,0.89277,0.92529,0.54759,1.4293,0.81034,1.24872,0.0012476,0.0012476,0.0012476
21,670.292,1.41041,0.8339,1.17135,0.93021,0.90099,0.93928,0.55858,1.42171,0.75521,1.25607,0.001208,0.001208,0.001208
22,701.879,1.40911,0.81564,1.17114,0.93702,0.90172,0.93843,0.55524,1.415,0.72183,1.26391,0.0011684,0.0011684,0.0011684
23,733.125,1.37267,0.80893,1.16652,0.93117,0.88298,0.93032,0.55086,1.41437,0.77283,1.24053,0.0011288,0.0011288,0.0011288
24,764.317,1.33092,0.75937,1.14751,0.91589,0.88834,0.91414,0.53941,1.44859,0.75858,1.27852,0.0010892,0.0010892,0.0010892
25,794.983,1.39295,0.79782,1.17077,0.9133,0.89977,0.93111,0.55212,1.45446,0.74695,1.27247,0.0010496,0.0010496,0.0010496
26,825.966,1.38035,0.7861,1.1558,0.94382,0.9021,0.94672,0.55344,1.44859,0.70863,1.27188,0.00101,0.00101,0.00101
27,857.129,1.35456,0.77622,1.15498,0.92006,0.89977,0.9345,0.53848,1.42429,0.75907,1.24772,0.0009704,0.0009704,0.0009704
