frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
1,1,0.282425,0,343.47,405.37,640.0,512.0,1
2,1,0.273619,0,348.05,405.36,639.9,512.0,1
3,0,,,,,,,0
4,0,,,,,,,0
5,0,,,,,,,0
6,0,,,,,,,0
7,1,0.285788,0,352.07,404.49,640.0,512.0,1
8,1,0.296938,0,350.84,404.2,640.0,512.0,1
9,1,0.290093,0,349.05,404.19,640.0,512.0,1
10,0,,,,,,,0
11,0,,,,,,,0
12,1,0.262619,0,345.02,404.56,639.91,512.0,1
13,1,0.288647,0,330.71,404.48,639.39,512.0,1
14,0,,,,,,,0
15,0,,,,,,,0
16,1,0.275214,0,273.01,395.56,639.53,510.88,1
17,0,,,,,,,0
18,0,,,,,,,0
19,0,,,,,,,0
20,0,,,,,,,0
21,0,,,,,,,0
22,0,,,,,,,0
23,0,,,,,,,0
24,0,,,,,,,0
25,0,,,,,,,0
26,0,,,,,,,0
27,0,,,,,,,0
28,0,,,,,,,0
29,0,,,,,,,0
30,1,0.256525,0,277.37,409.8,640.0,512.0,1
31,0,,,,,,,0
32,0,,,,,,,0
33,0,,,,,,,0
34,0,,,,,,,0
35,0,,,,,,,0
36,1,0.252642,0,274.17,409.97,640.0,512.0,1
37,0,,,,,,,0
38,0,,,,,,,0
39,0,,,,,,,0
40,1,0.257183,0,269.31,407.72,640.0,512.0,1
41,0,,,,,,,0
42,0,,,,,,,0
43,0,,,,,,,0
44,0,,,,,,,0
45,0,,,,,,,0
46,0,,,,,,,0
47,0,,,,,,,0
48,0,,,,,,,0
49,0,,,,,,,0
50,0,,,,,,,0
51,0,,,,,,,0
52,0,,,,,,,0
53,0,,,,,,,0
54,0,,,,,,,0
55,0,,,,,,,0
56,0,,,,,,,0
57,0,,,,,,,0
58,0,,,,,,,0
59,0,,,,,,,0
60,0,,,,,,,0
61,0,,,,,,,0
62,0,,,,,,,0
63,0,,,,,,,0
64,0,,,,,,,0
65,0,,,,,,,0
66,0,,,,,,,0
67,0,,,,,,,0
68,0,,,,,,,0
69,0,,,,,,,0
70,0,,,,,,,0
71,0,,,,,,,0
72,0,,,,,,,0
73,0,,,,,,,0
74,0,,,,,,,0
75,0,,,,,,,0
76,0,,,,,,,0
77,0,,,,,,,0
78,0,,,,,,,0
79,1,0.367957,0,382.7,316.21,438.2,361.89,1
80,1,0.321318,0,382.62,316.91,438.13,361.46,1
81,1,0.252515,0,268.84,407.25,640.0,512.0,1
82,0,,,,,,,0
83,0,,,,,,,0
84,1,0.736934,0,382.16,316.87,440.57,367.49,1
85,0,,,,,,,0
86,0,,,,,,,0
87,0,,,,,,,0
88,0,,,,,,,0
89,0,,,,,,,0
90,0,,,,,,,0
91,0,,,,,,,0
92,0,,,,,,,0
93,0,,,,,,,0
94,0,,,,,,,0
95,0,,,,,,,0
96,0,,,,,,,0
97,0,,,,,,,0
98,0,,,,,,,0
99,0,,,,,,,0
100,0,,,,,,,0
101,0,,,,,,,0
102,0,,,,,,,0
103,0,,,,,,,0
104,0,,,,,,,0
105,1,0.354569,0,387.79,316.9,442.11,362.31,1
106,1,0.331265,0,387.99,316.0,442.01,361.8,1
107,0,,,,,,,0
108,0,,,,,,,0
109,0,,,,,,,0
110,0,,,,,,,0
111,0,,,,,,,0
112,1,0.260182,0,386.22,314.27,441.46,362.19,1
113,1,0.250746,0,384.96,314.6,440.09,362.93,1
114,0,,,,,,,0
115,0,,,,,,,0
116,0,,,,,,,0
117,0,,,,,,,0
118,0,,,,,,,0
119,0,,,,,,,0
120,1,0.269332,0,381.45,314.16,434.25,360.14,1
121,0,,,,,,,0
122,0,,,,,,,0
123,0,,,,,,,0
124,0,,,,,,,0
125,0,,,,,,,0
126,0,,,,,,,0
127,0,,,,,,,0
128,0,,,,,,,0
129,0,,,,,,,0
130,0,,,,,,,0
131,0,,,,,,,0
132,0,,,,,,,0
133,1,0.36773,0,356.24,310.64,409.04,354.92,1
134,0,,,,,,,0
135,1,0.268481,0,349.1,310.36,403.11,354.31,1
136,0,,,,,,,0
137,0,,,,,,,0
138,0,,,,,,,0
139,0,,,,,,,0
140,1,0.312355,0,328.92,304.93,385.03,353.72,1
141,1,0.369294,0,324.54,305.88,379.59,352.9,1
142,1,0.337137,0,322.6,306.52,374.75,352.52,1
143,1,0.378734,0,317.59,306.18,369.66,351.56,1
144,1,0.397258,0,312.94,304.81,365.83,351.19,1
145,1,0.463782,0,309.27,306.76,358.33,350.45,1
146,1,0.433912,0,303.58,305.59,355.21,350.1,1
147,1,0.300937,0,299.19,304.78,349.13,349.78,1
148,1,0.280527,0,293.11,303.31,345.03,349.51,1
149,1,0.267394,0,289.73,301.84,342.41,349.62,1
150,1,0.4988,0,292.12,302.19,344.89,347.72,1
151,0,,,,,,,0
152,1,0.369009,0,301.92,303.28,354.3,346.96,1
153,1,0.277529,0,306.09,302.12,358.51,347.44,2
154,1,0.422845,0,309.05,302.05,362.57,346.09,1
155,1,0.495159,0,311.73,300.93,365.56,345.77,1
156,1,0.301928,0,306.12,299.58,360.58,346.01,1
157,1,0.335531,0,298.87,300.15,352.62,345.19,1
158,1,0.335691,0,290.59,299.91,344.69,345.18,1
159,1,0.565951,0,283.79,298.79,336.77,344.13,1
160,1,0.563168,0,276.41,299.78,328.38,344.46,1
161,1,0.571402,0,268.86,299.78,321.87,344.11,1
162,1,0.483209,0,267.81,297.76,320.73,343.84,1
163,1,0.474562,0,270.04,297.81,323.37,343.3,1
164,1,0.452683,0,270.27,296.95,323.78,343.65,2
165,1,0.580975,0,263.56,297.18,316.28,341.69,2
166,1,0.531717,0,253.75,296.46,307.81,341.98,2
167,1,0.464841,0,246.52,296.73,298.51,340.85,1
168,1,0.431764,0,239.39,295.86,291.36,341.03,1
169,1,0.625852,0,232.49,295.34,284.65,341.64,1
170,1,0.553732,0,224.75,294.5,279.82,342.59,1
171,1,0.51251,0,217.16,294.12,274.11,342.42,1
172,1,0.475073,0,211.05,294.2,266.57,341.83,1
173,1,0.589923,0,204.56,294.74,258.44,340.7,1
174,1,0.588515,0,196.86,295.07,250.51,340.94,2
175,1,0.589194,0,189.32,295.49,243.05,341.28,2
176,1,0.596805,0,182.61,294.53,236.27,340.2,2
177,1,0.581669,0,176.8,294.32,229.77,340.63,1
178,1,0.550967,0,170.12,293.3,223.83,340.34,1
179,1,0.543529,0,162.98,292.91,217.76,340.18,2
180,1,0.599538,0,155.68,294.72,210.32,338.74,1
181,1,0.66118,0,149.12,295.04,202.65,338.61,1
182,1,0.662628,0,142.61,293.65,196.22,339.3,1
183,1,0.672851,0,138.51,293.82,190.45,338.69,1
184,1,0.683521,0,138.2,293.66,190.43,338.5,1
185,1,0.743442,0,140.6,294.53,192.69,338.59,1
186,1,0.677995,0,143.53,294.41,195.8,338.57,1
187,1,0.732587,0,147.97,292.94,198.29,338.2,1
188,1,0.755075,0,148.63,292.97,201.06,338.14,1
189,1,0.711176,0,151.27,293.28,203.67,338.05,1
190,1,0.704942,0,156.24,293.42,205.5,337.3,1
191,1,0.733588,0,160.39,292.99,208.49,337.15,1
192,1,0.727123,0,163.62,292.68,211.4,337.57,1
193,1,0.755535,0,167.07,293.32,214.0,335.09,1
194,1,0.725883,0,169.31,291.83,218.63,335.48,1
195,1,0.747621,0,172.56,290.92,222.96,332.79,1
196,1,0.718626,0,176.72,289.92,227.63,332.97,1
197,1,0.74342,0,180.29,288.38,234.5,333.46,1
198,1,0.728222,0,185.67,288.38,238.63,332.96,1
