frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
1,1,0.480587,0,997.61,613.28,1112.03,716.27,1
2,1,0.540233,0,1017.82,613.93,1125.38,718.69,1
3,1,0.474265,0,1021.29,615.45,1130.54,718.15,1
4,1,0.663994,0,1021.65,619.87,1134.21,720.4,1
5,1,0.726375,0,1027.37,616.06,1147.13,721.34,1
6,1,0.703347,0,1037.3,620.16,1147.12,722.62,1
7,1,0.612891,0,1045.31,619.56,1150.31,724.0,1
8,1,0.516798,0,1046.6,621.8,1154.43,724.49,1
9,1,0.648294,0,1049.18,619.72,1159.2,723.08,1
10,1,0.615071,0,1051.04,620.84,1166.56,723.39,1
11,1,0.641096,0,1054.38,623.17,1169.3,723.32,1
12,0,,,,,,,0
13,1,0.298736,0,1065.08,621.38,1174.37,726.84,1
14,1,0.33279,0,1036.2,622.67,1149.55,727.63,1
15,0,,,,,,,0
16,1,0.301966,0,986.72,623.66,1103.9,727.0,1
17,0,,,,,,,0
18,1,0.350693,0,942.03,622.36,1061.53,727.54,1
19,1,0.504849,0,932.58,624.91,1047.87,725.79,1
20,1,0.286955,0,940.47,624.5,1057.03,728.83,1
21,1,0.346036,0,952.19,628.92,1066.03,727.23,1
22,1,0.378216,0,965.01,627.12,1079.33,725.07,1
23,1,0.313944,0,972.67,628.58,1081.76,728.77,1
24,1,0.581357,0,976.63,627.72,1088.34,727.72,1
25,1,0.545188,0,978.52,629.07,1094.37,730.18,1
26,1,0.605692,0,980.8,629.92,1097.57,729.68,1
27,1,0.519788,0,986.02,626.29,1105.6,730.99,1
28,1,0.408634,0,985.23,626.47,1107.1,732.06,1
29,1,0.554646,0,993.63,630.2,1112.89,728.68,1
30,1,0.477736,0,1001.4,630.49,1118.04,731.96,1
31,1,0.317454,0,1002.56,631.69,1120.05,729.76,1
32,1,0.464185,0,1014.88,635.63,1121.49,728.76,1
33,1,0.476541,0,1018.79,634.22,1126.39,729.67,1
34,1,0.324739,0,1018.0,633.29,1129.92,729.5,1
35,0,,,,,,,0
36,1,0.54164,0,1025.97,634.96,1138.31,731.74,1
37,1,0.628999,0,1029.83,630.32,1147.17,731.16,1
38,1,0.492467,0,1038.28,635.82,1145.73,729.61,1
39,1,0.52898,0,1041.59,631.94,1149.82,730.36,1
40,1,0.354793,0,1035.46,630.78,1154.72,730.46,1
41,1,0.511745,0,1043.09,632.7,1155.76,729.18,1
42,1,0.468811,0,1053.26,634.6,1159.48,729.81,1
43,1,0.510835,0,1046.71,633.08,1162.23,730.75,1
44,1,0.525403,0,1047.0,629.67,1171.04,731.29,1
45,0,,,,,,,0
46,1,0.473321,0,1064.32,633.48,1177.49,729.7,1
47,0,,,,,,,0
48,1,0.302971,0,1068.78,633.65,1180.06,727.76,1
49,1,0.362048,0,1076.08,633.12,1182.27,730.22,1
50,1,0.325571,0,1071.8,632.38,1188.34,730.68,1
51,1,0.563253,0,1076.17,629.37,1191.67,729.59,1
52,1,0.365795,0,1087.72,631.6,1196.04,728.14,1
53,0,,,,,,,0
54,1,0.267553,0,1089.12,627.12,1200.14,728.33,1
55,1,0.57698,0,1093.15,630.06,1204.68,727.51,1
56,1,0.555944,0,1089.61,631.25,1201.56,728.37,1
57,1,0.506491,0,1091.88,627.79,1202.73,727.67,1
58,1,0.573603,0,1097.05,629.26,1205.83,729.38,1
59,1,0.469168,0,1099.92,632.35,1213.15,729.54,1
60,1,0.469497,0,1098.39,628.98,1212.79,728.59,1
61,1,0.577363,0,1097.82,627.33,1215.64,727.69,1
62,1,0.507894,0,1100.1,627.65,1219.23,727.13,1
63,1,0.423808,0,1105.5,630.59,1215.02,726.69,1
